C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_01_288.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_01_288.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_01_288.jpg, 0, 0, 0, 7.867254E-05
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_01_422.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_01_422.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_01_422.jpg, 0, 0, 0, 7.766535E-05
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_01_594.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_01_594.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_01_594.jpg, 0, 0, 0, 8.000727E-05
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_01_710.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_01_710.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_01_710.jpg, 0, 0, 0, 7.785791E-05
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_01_816.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_01_816.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_01_816.jpg, 0, 0, 0, 7.941679E-05
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_01_928.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_01_928.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_01_928.jpg, 0, 0.0325461, 0, 0.02123152
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_029.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_029.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_029.jpg, 0, 0.3363804, 0, 0.3408293
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_130.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_130.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_130.jpg, 0, 0.6411396, 0, 1.059554
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_229.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_229.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_229.jpg, 0, 0.941502, 0, 2.179765
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_336.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_336.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_336.jpg, -0.2825658, 1, 0, 3.346764
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_475.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_475.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_475.jpg, 0, 1, 0, 4.981306
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_776.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_776.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_776.jpg, 0, 1, 0, 8.41648
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_885.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_885.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_885.jpg, 0, 1, 0, 9.76262
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_02_993.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_02_993.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_02_993.jpg, 0, 1, 0, 10.87228
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_03_100.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_03_100.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_03_100.jpg, 0, 1, 0, 12.10091
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_03_206.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_03_206.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_03_206.jpg, -0.3255336, 1, 0, 13.14949
C:\Users\ANS\Desktop\data\IMG\center_2020_07_11_12_57_03_315.jpg, C:\Users\ANS\Desktop\data\IMG\left_2020_07_11_12_57_03_315.jpg, C:\Users\ANS\Desktop\data\IMG\right_2020_07_11_12_57_03_315.jpg, -0.623646, 1, 0, 14.02609
